Tahun,Entity,Jumlah penggunaan kendaraan,,,,,,,
2016,Mobil Penumpang,13142958,,,,,,,
2016,Mobil Bis,204512,,,,,,,
2016,Mobil Barang,4326731,,,,,,,
2016,Sepeda motor,94531510,,,,,,,
2017,Mobil Penumpang,13968202,,,,,,,
2017,Mobil Bis,213359,,,,,,,
2017,Mobil Barang,4540902,,,,,,,
2017,Sepeda motor,100200245,,,,,,, 
2018,Mobil Penumpang,14830698,,,,,,,
2018,Mobil Bis,222872,,,,,,,
2018,Mobil Barang,4797254,,,,,,,
2018,Sepeda motor,106657952,,,,,,,
2019,Mobil Penumpang,15592419,,,,,,,
2019,Mobil Bis,231569,,,,,,,
2019,Mobil Barang,5021888,,,,,,,
2019,Sepeda motor,112771136,,,,,,,
2020,Mobil Penumpang,15797746,,,,,,,
2020,Mobil Bis,233261,,,,,,,
2020,Mobil Barang,5083405,,,,,,,
2020,Sepeda motor,115023039,,,,,,,
2021,Mobil Penumpang,16413348,,,,,,,
2021,Mobil Bis,237566,,,,,,,
2021,Mobil Barang,5299361,,,,,,,
2021,Sepeda motor,120042298,,,,,,,
2022,Mobil Penumpang,17217792,,,,,,,
2022,Mobil Bis,2474239582,,,,,,,
2022,Mobil Barang,5507831401,,,,,,,
2022,Sepeda motor,125742303,,,,,,,
2023,Mobil Penumpang,17756824,,,,,,,
2023,Mobil Bis,2527738815,,,,,,,
2023,Mobil Barang,5675493,,,,,,,
2023,Sepeda motor,130199615,,,,,,,
2024,Mobil Penumpang,18280373,,,,,,,
2024,Mobil Bis,2578259761,,,,,,,
2024,Mobil Barang,5831074408,,,,,,,
2024,Sepeda motor,134363482,,,,,,,
2025,Mobil Penumpang,18855228,,,,,,,
2025,Mobil Bis,2634846751,,,,,,,
2025,Mobil Barang,6000029841,,,,,,,
2025,Sepeda motor,138741243,,,,,,,
